ApplStandard,Brand,Cap,Cap (Second Drum),CEC Cold,CEC Cold (Second Drum),Labelled energy consumption (kWh/year),CEC_ (Second Drum),Cold Prog,Cold Prog (Second Drum),Cold Wat Cons,Cold Wat Cons (Second Drum),Combination,Combination (Second Drum),Conn_Mode,Conn_Mode (Second Drum),Country,delayStartMode,delayStartMode (Second Drum),Depth,Depth (Second Drum),DetergentType,DetergentType (Second Drum),Height,Height (Second Drum),Hot Wat Cons,Hot Wat Cons (Second Drum),internal_heater,internal_heater (Second Drum),Loading,Loading (Second Drum),MachineAction,MachineAction (Second Drum),Model No,Family Name,N-Standard,New SRI,New SRI (Second Drum),New Star,New Star (Second Drum),postProgenergy,postProgenergy (Second Drum),powerConsMode,powerConsMode (Second Drum),Prog Name,Prog Name (Second Drum),Sold_in,standbyPowerUsage,standbyPowerUsage (Second Drum),Submit_ID,SubmitStatus,Test Prog Time,Test Prog Time (Second Drum),Tot Wat Cons,Tot Wat Cons (Second Drum),Type,Type (Second Drum),WEI,WEI (Second Drum),Width,Width (Second Drum),ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Program Time,Program Time (Second Drum),Hot Water (L),Hot Water (L) (Second Drum),Cold Water (L),Cold Water (L) (Second Drum),Star Rating (old),Star Image Large,Star Image Large (Second Drum),Star Image Small,Star Image Small (Second Drum),Registration Number
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,WHIRLPOOL,9,-,-,-,272,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,FWRB9002IW,FWRB90*2IW,AS/NZS 2040.1:2005/Amdt 3:2010,4.50047620074209,-,4.5,-,0.0,-,0.4,-,"eCotton 40 degree C, 1400rpm",-,"Australia,Fiji,New Zealand",0.4,-,161874,Approved,256.0,-,0.0,-,Drum,-,0.5789,-,-,-,2029-05-22,,Single product class,Available,http://www.whirlpool.com.au/,,256.0,-,92.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1430
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,WHIRLPOOL,9,-,-,-,272,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,FWRB9012IW,FWRB90*2IW,AS/NZS 2040.1:2005/Amdt 3:2010,4.50047620074209,-,4.5,-,0.0,-,0.4,-,"eCotton 40 degree C, 1400rpm",-,"Australia,Fiji,New Zealand",0.4,-,161874,Approved,256.0,-,0.0,-,Drum,-,0.5789,-,-,-,2029-05-22,,Single product class,Available,http://www.whirlpool.com.au/,,256.0,-,92.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1430
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,WHIRLPOOL,9,-,-,-,272,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,FWRB90*2IW,FWRB90*2IW,AS/NZS 2040.1:2005/Amdt 3:2010,4.50047620074209,-,4.5,-,0.0,-,0.4,-,"eCotton 40 degree C, 1400rpm",-,"Australia,Fiji,New Zealand",0.4,-,161874,Approved,256.0,-,0.0,-,Drum,-,0.5789,-,-,-,2029-05-22,,Single product class,Available,http://www.whirlpool.com.au/,,256.0,-,92.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1430
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,WHIRLPOOL,9,-,-,-,320,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,FWEB9012IW,FWEB90*2I*,AS/NZS 2040.1:2005/Amdt 3:2010,4.131897211895993,-,4.0,-,0.0,-,0.8,-,"Eco Cotton, 40 degree C, 1400 rpm",-,"Australia,Fiji,New Zealand",0.8,-,140260,Approved,330.0,-,0.0,-,Drum,-,0.6022,-,-,-,2026-08-25,,Single product class,Available,http://www.whirlpool.com.au/,,330.0,-,92.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW1126
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,WHIRLPOOL,9,-,-,-,320,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,FWEB9012IG,FWEB90*2I*,AS/NZS 2040.1:2005/Amdt 3:2010,4.131897211895993,-,4.0,-,0.0,-,0.8,-,"Eco Cotton, 40 degree C, 1400 rpm",-,"Australia,Fiji,New Zealand",0.8,-,140260,Approved,330.0,-,0.0,-,Drum,-,0.6022,-,-,-,2026-08-25,,Single product class,Available,http://www.whirlpool.com.au/,,330.0,-,92.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW1126
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,WHIRLPOOL,9,-,-,-,320,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,FWEB90*2I*,FWEB90*2I*,AS/NZS 2040.1:2005/Amdt 3:2010,4.131897211895993,-,4.0,-,0.0,-,0.8,-,"Eco Cotton, 40 degree C, 1400 rpm",-,"Australia,Fiji,New Zealand",0.8,-,140260,Approved,330.0,-,0.0,-,Drum,-,0.6022,-,-,-,2026-08-25,,Single product class,Available,http://www.whirlpool.com.au/,,330.0,-,92.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW1126
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,WHIRLPOOL,9,-,-,-,320,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,FWEB9002IW,FWEB90*2I*,AS/NZS 2040.1:2005/Amdt 3:2010,4.131897211895993,-,4.0,-,0.0,-,0.8,-,"Eco Cotton, 40 degree C, 1400 rpm",-,"Australia,Fiji,New Zealand",0.8,-,140260,Approved,330.0,-,0.0,-,Drum,-,0.6022,-,-,-,2026-08-25,,Single product class,Available,http://www.whirlpool.com.au/,,330.0,-,92.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW1126
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,WHIRLPOOL,9,-,-,-,320,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,FWEB9002IG,FWEB90*2I*,AS/NZS 2040.1:2005/Amdt 3:2010,4.131897211895993,-,4.0,-,0.0,-,0.8,-,"Eco Cotton, 40 degree C, 1400 rpm",-,"Australia,Fiji,New Zealand",0.8,-,140260,Approved,330.0,-,0.0,-,Drum,-,0.6022,-,-,-,2026-08-25,,Single product class,Available,http://www.whirlpool.com.au/,,330.0,-,92.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW1126
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,CHIQ,10,-,-,-,288,-,N/A,N/A,N/A,N/A,No,N/A,Cold,N/A,China,No,-,636.0,N/A,Drum type IEC Type B with Sodium Percarbonate,-,847.0,N/A,N/A,N/A,Yes,-,Front,N/A,-,N/A,WFL100PLSW,WFL100 series,AS/NZS 2040.1:2021 +A1,4.510959976920989,-,4.5,-,0.0,-,1.0,N/A,"Cotton, 40℃, 1400 rpm",-,"Australia,Fiji,New Zealand",1.0,-,173204,Approved,313.2,-,N/A,N/A,Drum,N/A,0.6161,-,600.0,N/A,2030-10-13,,Single product class,Available,,,314.0,-,99.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1637
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,CHIQ,10,-,-,-,288,-,N/A,N/A,N/A,N/A,No,N/A,Cold,N/A,China,No,-,636.0,N/A,Drum type IEC Type B with Sodium Percarbonate,-,847.0,N/A,N/A,N/A,Yes,-,Front,N/A,-,N/A,WFL100SG1,WFL100 series,AS/NZS 2040.1:2021 +A1,4.510959976920989,-,4.5,-,0.0,-,1.0,N/A,"Cotton, 40℃, 1400 rpm",-,"Australia,Fiji,New Zealand",1.0,-,173204,Approved,313.2,-,N/A,N/A,Drum,N/A,0.6161,-,600.0,N/A,2030-10-13,,Single product class,Available,,,314.0,-,99.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1637
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,CHIQ,10,-,-,-,288,-,N/A,N/A,N/A,N/A,No,N/A,Cold,N/A,China,No,-,636.0,N/A,Drum type IEC Type B with Sodium Percarbonate,-,847.0,N/A,N/A,N/A,Yes,-,Front,N/A,-,N/A,WFL100SW,WFL100 series,AS/NZS 2040.1:2021 +A1,4.510959976920989,-,4.5,-,0.0,-,1.0,N/A,"Cotton, 40℃, 1400 rpm",-,"Australia,Fiji,New Zealand",1.0,-,173204,Approved,313.2,-,N/A,N/A,Drum,N/A,0.6161,-,600.0,N/A,2030-10-13,,Single product class,Available,,,314.0,-,99.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1637
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,CHIQ,10,-,-,-,288,-,N/A,N/A,N/A,N/A,No,N/A,Cold,N/A,China,No,-,636.0,N/A,Drum type IEC Type B with Sodium Percarbonate,-,847.0,N/A,N/A,N/A,Yes,-,Front,N/A,-,N/A,WFL100 series,WFL100 series,AS/NZS 2040.1:2021 +A1,4.510959976920989,-,4.5,-,0.0,-,1.0,N/A,"Cotton, 40℃, 1400 rpm",-,"Australia,Fiji,New Zealand",1.0,-,173204,Approved,313.2,-,N/A,N/A,Drum,N/A,0.6161,-,600.0,N/A,2030-10-13,,Single product class,Available,,,314.0,-,99.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1637
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIDEA,8,-,-,-,244,-,-,-,-,-,No,-,Cold,-,China,Yes,-,475.0,-,Drum,-,850.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,MF110W80B/W-AU,MF110W80B series,AS/NZS 2040.1:2005/Amdt 3:2010,4.6061189616113225,-,4.5,-,0.0,-,0.4,-,"COTTON ECO, 60°C, Speed 1400",-,"Australia,Fiji,New Zealand",0.4,-,173221,Approved,394.0,-,0.0,-,Drum,-,0.5225,-,595.0,-,2030-09-30,,Single product class,Available,,,394.0,-,68.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1634
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIDEA,8,-,-,-,244,-,-,-,-,-,No,-,Cold,-,China,Yes,-,475.0,-,Drum,-,850.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,MF110W80B/T-AU,MF110W80B series,AS/NZS 2040.1:2005/Amdt 3:2010,4.6061189616113225,-,4.5,-,0.0,-,0.4,-,"COTTON ECO, 60°C, Speed 1400",-,"Australia,Fiji,New Zealand",0.4,-,173221,Approved,394.0,-,0.0,-,Drum,-,0.5225,-,595.0,-,2030-09-30,,Single product class,Available,,,394.0,-,68.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1634
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIDEA,8,-,-,-,244,-,-,-,-,-,No,-,Cold,-,China,Yes,-,475.0,-,Drum,-,850.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,MF110W80B series,MF110W80B series,AS/NZS 2040.1:2005/Amdt 3:2010,4.6061189616113225,-,4.5,-,0.0,-,0.4,-,"COTTON ECO, 60°C, Speed 1400",-,"Australia,Fiji,New Zealand",0.4,-,173221,Approved,394.0,-,0.0,-,Drum,-,0.5225,-,595.0,-,2030-09-30,,Single product class,Available,,,394.0,-,68.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1634
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIDEA,7,-,-,-,404,-,-,-,-,-,No,-,Dual,-,China,No,-,596.0,-,Non Drum,-,1015.0,-,-,-,No,-,Top,-,Impeller,-,MT512W70RUW,MT512W70RU series,AS/NZS 2040.1:2005/Amdt 3:2010,3.00432388905592,-,3.0,-,0.0,-,0.45,-,"""Normal"" + ""Medium"" + ""Warm"" + ""Rinse+ ""3"""" + ""Spin+9""""",-,"Australia,Fiji,New Zealand",0.45,-,173222,Approved,359.202,-,0.0,-,Non-Drum,-,0.6513,-,580.0,-,2030-09-23,,Single product class,Available,,,359.202,-,102.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ACW1619
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIDEA,7,-,-,-,404,-,-,-,-,-,No,-,Dual,-,China,No,-,596.0,-,Non Drum,-,1015.0,-,-,-,No,-,Top,-,Impeller,-,MT512W70RUT,MT512W70RU series,AS/NZS 2040.1:2005/Amdt 3:2010,3.00432388905592,-,3.0,-,0.0,-,0.45,-,"""Normal"" + ""Medium"" + ""Warm"" + ""Rinse+ ""3"""" + ""Spin+9""""",-,"Australia,Fiji,New Zealand",0.45,-,173222,Approved,359.202,-,0.0,-,Non-Drum,-,0.6513,-,580.0,-,2030-09-23,,Single product class,Available,,,359.202,-,102.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ACW1619
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIDEA,7,-,-,-,404,-,-,-,-,-,No,-,Dual,-,China,No,-,596.0,-,Non Drum,-,1015.0,-,-,-,No,-,Top,-,Impeller,-,MT512W70RU series,MT512W70RU series,AS/NZS 2040.1:2005/Amdt 3:2010,3.00432388905592,-,3.0,-,0.0,-,0.45,-,"""Normal"" + ""Medium"" + ""Warm"" + ""Rinse+ ""3"""" + ""Spin+9""""",-,"Australia,Fiji,New Zealand",0.45,-,173222,Approved,359.202,-,0.0,-,Non-Drum,-,0.6513,-,580.0,-,2030-09-23,,Single product class,Available,,,359.202,-,102.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ACW1619
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,CHIQ,10,-,-,-,288,-,N/A,N/A,N/A,N/A,Yes,N/A,Cold,N/A,China,No,-,-,N/A,Drum type IEC Type B with Sodium Percarbonate,-,-,N/A,N/A,N/A,Yes,-,Front,N/A,-,N/A,WD100TW,WD100T series,AS/NZS 2040.1:2021 +A1,4.5635483903101,-,4.5,-,0.0,-,1.0,N/A,"Cotton 40℃, 1400 rpm",-,"Australia,Fiji,New Zealand",1.0,-,173239,Approved,315.2,-,N/A,N/A,Drum,N/A,0.592,-,-,N/A,2030-10-15,,Single product class,Available,,,316.0,-,99.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1640
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,CHIQ,10,-,-,-,288,-,N/A,N/A,N/A,N/A,Yes,N/A,Cold,N/A,China,No,-,-,N/A,Drum type IEC Type B with Sodium Percarbonate,-,-,N/A,N/A,N/A,Yes,-,Front,N/A,-,N/A,WD100TG2,WD100T series,AS/NZS 2040.1:2021 +A1,4.5635483903101,-,4.5,-,0.0,-,1.0,N/A,"Cotton 40℃, 1400 rpm",-,"Australia,Fiji,New Zealand",1.0,-,173239,Approved,315.2,-,N/A,N/A,Drum,N/A,0.592,-,-,N/A,2030-10-15,,Single product class,Available,,,316.0,-,99.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1640
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,CHIQ,10,-,-,-,288,-,N/A,N/A,N/A,N/A,Yes,N/A,Cold,N/A,China,No,-,-,N/A,Drum type IEC Type B with Sodium Percarbonate,-,-,N/A,N/A,N/A,Yes,-,Front,N/A,-,N/A,WD100TB,WD100T series,AS/NZS 2040.1:2021 +A1,4.5635483903101,-,4.5,-,0.0,-,1.0,N/A,"Cotton 40℃, 1400 rpm",-,"Australia,Fiji,New Zealand",1.0,-,173239,Approved,315.2,-,N/A,N/A,Drum,N/A,0.592,-,-,N/A,2030-10-15,,Single product class,Available,,,316.0,-,99.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1640
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,CHIQ,10,-,-,-,288,-,N/A,N/A,N/A,N/A,Yes,N/A,Cold,N/A,China,No,-,-,N/A,Drum type IEC Type B with Sodium Percarbonate,-,-,N/A,N/A,N/A,Yes,-,Front,N/A,-,N/A,WD100T series,WD100T series,AS/NZS 2040.1:2021 +A1,4.5635483903101,-,4.5,-,0.0,-,1.0,N/A,"Cotton 40℃, 1400 rpm",-,"Australia,Fiji,New Zealand",1.0,-,173239,Approved,315.2,-,N/A,N/A,Drum,N/A,0.592,-,-,N/A,2030-10-15,,Single product class,Available,,,316.0,-,99.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1640
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIDEA,8,-,-,-,470,-,-,-,-,-,No,-,Dual,-,China,No,-,596.0,-,Non Drum,-,1015.0,-,-,-,No,-,Top,-,Impeller,-,MT512W80RUW,MT512W80RU series,AS/NZS 2040.1:2005/Amdt 3:2010,3.000377051123478,-,3.0,-,0.0,-,0.45,-,"""Normal"" + ""High"" + ""Warm"" + ""Rinse+ ""3"""" + ""Spin+9""""",-,"Australia,Fiji,New Zealand",0.45,-,173243,Approved,300.6,-,0.0,-,Non-Drum,-,0.6236,-,580.0,-,2030-09-23,,Single product class,Available,,,300.6,-,98.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ACW1620
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIDEA,8,-,-,-,470,-,-,-,-,-,No,-,Dual,-,China,No,-,596.0,-,Non Drum,-,1015.0,-,-,-,No,-,Top,-,Impeller,-,MT512W80RUT,MT512W80RU series,AS/NZS 2040.1:2005/Amdt 3:2010,3.000377051123478,-,3.0,-,0.0,-,0.45,-,"""Normal"" + ""High"" + ""Warm"" + ""Rinse+ ""3"""" + ""Spin+9""""",-,"Australia,Fiji,New Zealand",0.45,-,173243,Approved,300.6,-,0.0,-,Non-Drum,-,0.6236,-,580.0,-,2030-09-23,,Single product class,Available,,,300.6,-,98.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ACW1620
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIDEA,8,-,-,-,470,-,-,-,-,-,No,-,Dual,-,China,No,-,596.0,-,Non Drum,-,1015.0,-,-,-,No,-,Top,-,Impeller,-,MT512W80RU series,MT512W80RU series,AS/NZS 2040.1:2005/Amdt 3:2010,3.000377051123478,-,3.0,-,0.0,-,0.45,-,"""Normal"" + ""High"" + ""Warm"" + ""Rinse+ ""3"""" + ""Spin+9""""",-,"Australia,Fiji,New Zealand",0.45,-,173243,Approved,300.6,-,0.0,-,Non-Drum,-,0.6236,-,580.0,-,2030-09-23,,Single product class,Available,,,300.6,-,98.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ACW1620
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIDEA,9,-,-,-,531,-,-,-,-,-,No,-,Dual,-,China,No,-,596.0,-,Non Drum,-,1015.0,-,-,-,No,-,Top,-,Impeller,-,MT512W90RUW,MT512W90RU series,AS/NZS 2040.1:2005/Amdt 3:2010,3.0123076159478455,-,3.0,-,0.0,-,0.45,-,"""Normal"" + ""Extra High"" + ""Warm"" + ""Rinse+ ""3"""" + ""Spin+9""""",-,"Australia,Fiji,New Zealand",0.45,-,173248,Approved,363.198,-,0.0,-,Non-Drum,-,0.6073,-,580.0,-,2030-09-23,,Single product class,Available,,,363.198,-,110.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ACW1621
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIDEA,9,-,-,-,531,-,-,-,-,-,No,-,Dual,-,China,No,-,596.0,-,Non Drum,-,1015.0,-,-,-,No,-,Top,-,Impeller,-,MT512W90RUT,MT512W90RU series,AS/NZS 2040.1:2005/Amdt 3:2010,3.0123076159478455,-,3.0,-,0.0,-,0.45,-,"""Normal"" + ""Extra High"" + ""Warm"" + ""Rinse+ ""3"""" + ""Spin+9""""",-,"Australia,Fiji,New Zealand",0.45,-,173248,Approved,363.198,-,0.0,-,Non-Drum,-,0.6073,-,580.0,-,2030-09-23,,Single product class,Available,,,363.198,-,110.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ACW1621
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIDEA,9,-,-,-,531,-,-,-,-,-,No,-,Dual,-,China,No,-,596.0,-,Non Drum,-,1015.0,-,-,-,No,-,Top,-,Impeller,-,MT512W90RU series,MT512W90RU series,AS/NZS 2040.1:2005/Amdt 3:2010,3.0123076159478455,-,3.0,-,0.0,-,0.45,-,"""Normal"" + ""Extra High"" + ""Warm"" + ""Rinse+ ""3"""" + ""Spin+9""""",-,"Australia,Fiji,New Zealand",0.45,-,173248,Approved,363.198,-,0.0,-,Non-Drum,-,0.6073,-,580.0,-,2030-09-23,,Single product class,Available,,,363.198,-,110.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ACW1621
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIDEA,10,-,-,-,298,-,-,-,-,-,No,-,Dual,-,China,No,-,620.0,-,Non Drum,-,1050.0,-,-,-,No,-,Top,-,Impeller,-,MT512W100RDW,MT512W100RD series,AS/NZS 2040.1:2005/Amdt 3:2010,4.549712048216911,-,4.5,-,0.0,-,0.4,-,"""Normal"" + ""High"" + ""Warm"" + ""Rinse+ ""3"""" + ""Spin+9""""",-,"Australia,Fiji,New Zealand",0.4,-,173252,Approved,393.198,-,0.0,-,Non-Drum,-,0.5687,-,601.0,-,2030-09-23,,Single product class,Available,,,393.198,-,122.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1617
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIDEA,10,-,-,-,298,-,-,-,-,-,No,-,Dual,-,China,No,-,620.0,-,Non Drum,-,1050.0,-,-,-,No,-,Top,-,Impeller,-,MT512W100RDT,MT512W100RD series,AS/NZS 2040.1:2005/Amdt 3:2010,4.549712048216911,-,4.5,-,0.0,-,0.4,-,"""Normal"" + ""High"" + ""Warm"" + ""Rinse+ ""3"""" + ""Spin+9""""",-,"Australia,Fiji,New Zealand",0.4,-,173252,Approved,393.198,-,0.0,-,Non-Drum,-,0.5687,-,601.0,-,2030-09-23,,Single product class,Available,,,393.198,-,122.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1617
